epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.284,2.82463,0.2694,0.33932,2.28492,1.3761,0.50741,0.53651,0.48869,0.08164,0.5693,0.60179,0.59134,0.58844,3.07429,0.09261,0.10579,1.46015,1.3454,0.00054928,0.00054928,0.00054928
2,38.7984,1.71055,0.0572,0.06111,1.08263,0.93306,0.37642,0.56103,0.39028,0.0751,0.65028,0.83434,0.78598,0.78473,3.37513,0.05342,0.01669,1.45237,1.48699,0.00109401,0.00109401,0.00109401
3,56.1853,1.53777,0.04106,0.03961,0.93788,0.90336,0.84729,0.85932,0.8979,0.42104,0.85092,0.876,0.91972,0.91695,1.6839,0.03344,0.00849,0.92158,0.92591,0.00162773,0.00162773,0.00162773
4,73.6822,1.43136,0.03749,0.03288,0.83742,0.88481,0.84712,0.73651,0.84297,0.19259,0.85671,0.76437,0.88273,0.8812,2.66173,0.0317,0.0052,1.30119,1.19785,0.00161749,0.00161749,0.00161749
5,90.9406,1.38489,0.0342,0.02573,0.79757,0.87881,0.88184,0.8498,0.9318,0.39523,0.88598,0.86695,0.94862,0.94842,1.94317,0.02281,0.00503,0.98779,0.96953,0.00160099,0.00160099,0.00160099
6,108.195,1.2623,0.03185,0.02529,0.73316,0.86361,0.91811,0.87438,0.96172,0.68145,0.92069,0.87856,0.9678,0.96712,0.91754,0.02015,0.00364,0.60883,0.80561,0.00158448,0.00158448,0.00158448
7,125.155,1.3354,0.02861,0.02131,0.7444,0.86806,0.86098,0.87927,0.93438,0.50689,0.86349,0.88899,0.94097,0.93946,1.51372,0.01813,0.00663,0.74266,0.85512,0.00156798,0.00156798,0.00156798
8,142.334,1.216,0.02673,0.02129,0.68526,0.85145,0.92774,0.87804,0.95706,0.51326,0.91685,0.89426,0.96239,0.96217,1.38621,0.0158,0.00349,0.72615,0.84223,0.00155148,0.00155148,0.00155148
9,159.47,1.25452,0.02286,0.01878,0.68271,0.85553,0.92662,0.90406,0.95906,0.59829,0.92605,0.9091,0.9663,0.96613,1.04092,0.01667,0.00329,0.64683,0.82257,0.00153497,0.00153497,0.00153497
10,176.8,1.27606,0.02391,0.01758,0.70115,0.85996,0.95424,0.9257,0.97834,0.60051,0.95242,0.92883,0.98233,0.98225,1.1368,0.01682,0.00395,0.68395,0.82345,0.00151847,0.00151847,0.00151847
11,194.005,1.14272,0.02289,0.01869,0.63547,0.84735,0.93582,0.90336,0.96475,0.63588,0.93261,0.91399,0.96833,0.96822,0.96871,0.01435,0.00269,0.60755,0.80786,0.00150197,0.00150197,0.00150197
12,211.137,1.11092,0.02149,0.01705,0.62848,0.84307,0.91165,0.90156,0.96578,0.57359,0.91764,0.90903,0.97027,0.96997,1.17908,0.01308,0.00276,0.60428,0.82987,0.00148546,0.00148546,0.00148546
13,228.291,1.08811,0.01842,0.01726,0.60819,0.83963,0.93608,0.93046,0.97714,0.69524,0.94183,0.93612,0.98041,0.98016,0.88966,0.01163,0.00135,0.53134,0.799,0.00146896,0.00146896,0.00146896
14,245.521,1.09386,0.01823,0.01496,0.58775,0.83613,0.96965,0.915,0.97846,0.57377,0.97234,0.91873,0.98309,0.98305,1.20977,0.01238,0.00255,0.60873,0.82637,0.00145246,0.00145246,0.00145246
15,262.676,1.08334,0.01703,0.01546,0.58019,0.83488,0.9752,0.94436,0.98488,0.69885,0.97691,0.94684,0.98808,0.98802,0.87859,0.01107,0.00166,0.5334,0.79699,0.00143595,0.00143595,0.00143595
16,279.975,1.06747,0.01688,0.01566,0.57479,0.8347,0.91857,0.90333,0.96346,0.64098,0.9264,0.91145,0.97008,0.96973,1.07284,0.01184,0.00116,0.55803,0.80993,0.00141945,0.00141945,0.00141945
17,297.181,0.97002,0.0162,0.01507,0.52955,0.82501,0.95056,0.94732,0.98342,0.70709,0.9502,0.95194,0.98695,0.98684,0.91057,0.01091,0.00083,0.49966,0.8004,0.00140295,0.00140295,0.00140295
18,314.522,0.98358,0.01526,0.01327,0.52997,0.82665,0.98151,0.93661,0.98617,0.74041,0.98301,0.93958,0.98868,0.98856,0.76814,0.01061,0.00103,0.44365,0.78738,0.00138644,0.00138644,0.00138644
19,331.622,1.04466,0.01483,0.01355,0.55407,0.82977,0.97428,0.9251,0.9798,0.61655,0.97797,0.9289,0.98523,0.9851,1.02672,0.01119,0.00211,0.56368,0.80829,0.00136994,0.00136994,0.00136994
20,348.877,0.9918,0.01525,0.01469,0.53344,0.82636,0.98214,0.92852,0.97931,0.73703,0.98336,0.93023,0.98579,0.98572,0.78777,0.01021,0.00096,0.4802,0.78834,0.00135344,0.00135344,0.00135344
21,366.06,1.01861,0.01487,0.013,0.54054,0.82844,0.96282,0.93588,0.98553,0.67217,0.95834,0.94586,0.98841,0.98835,1.04963,0.01131,0.0012,0.55764,0.8138,0.00133693,0.00133693,0.00133693
22,383.229,1.01131,0.01478,0.01439,0.54967,0.82771,0.98381,0.9217,0.98447,0.70495,0.98529,0.92331,0.98738,0.98736,0.88447,0.00957,0.00094,0.47672,0.79561,0.00132043,0.00132043,0.00132043
23,400.852,0.90486,0.0134,0.01237,0.49403,0.8188,0.95397,0.93585,0.98191,0.70647,0.95744,0.94049,0.9852,0.98517,0.90835,0.00974,0.00062,0.47921,0.79928,0.00130393,0.00130393,0.00130393
24,418.123,0.92594,0.01438,0.01319,0.4912,0.81842,0.96006,0.94712,0.98471,0.70236,0.96162,0.95869,0.98722,0.98719,0.83883,0.00917,0.00066,0.44944,0.7917,0.00128742,0.00128742,0.00128742
25,435.015,0.92133,0.01326,0.01262,0.49055,0.81996,0.97896,0.92063,0.98276,0.59682,0.97616,0.92778,0.98546,0.98544,1.14263,0.00913,0.00098,0.5498,0.81492,0.00127092,0.00127092,0.00127092
26,451.833,0.92938,0.01328,0.01349,0.48991,0.81774,0.97203,0.95883,0.98767,0.72325,0.97395,0.9619,0.9901,0.99007,0.86374,0.00871,0.00062,0.43328,0.79223,0.00125442,0.00125442,0.00125442
